email_address,email_type,email_perm, email_freq
vanessa90@campbell-cox.info,Home,Unkown,21
omartinez@brooks.com,Work,Opt-In,14
garrett76@macias-rollins.net,Work,Opt-In,30
slindsey@example.org,Other,Unkown,14
hbeard@cervantes.org,Work,Opt-In,30
deniseflores@hotmail.com,Home,Opt-In,7
dannydavis@example.net,Other,Opt-In,21
william16@example.org,Unknown,Opt-In,14
tashamoore@example.com,Unknown,Opt-Out,14
burnsemily@example.com,Unknown,Unkown,14
mcraig@hanson.com,Work,Opt-Out,14
davidortiz@yahoo.com,Personal,Opt-In,1
kellermarie@hotmail.com,Personal,Opt-In,7
anthony19@example.com,Unknown,Opt-In,14
ghall@dixon.com,Work,Opt-Out,14
kelseymorris@brooks.com,Work,Opt-Out,7
kathryn99@yahoo.com,Personal,Opt-In,21
porterjessica@ayala-warren.org,Work,Opt-Out,14
amber54@yahoo.com,Home,Opt-Out,1
gutierrezkim@webster.com,Work,Opt-Out,14
hendricksmargaret@gonzalez-garcia.com,Work,Opt-In,7
mwilson@example.com,Unknown,Opt-In,14
suzanne07@gmail.com,Personal,Opt-In,7
jordanjeremy@gmail.com,Personal,Opt-Out,1
theresa89@example.com,Other,Opt-In,21
batesdanielle@yahoo.com,Home,Opt-Out,14
jennifer32@garrett-webb.biz,Home,Opt-Out,21
qcurry@gmail.com,Personal,Unkown,21
andrewroberts@yahoo.com,Personal,Unkown,21
shawnakrause@yahoo.com,Home,Opt-In,21
santanaandrew@yahoo.com,Personal,Opt-In,1
jacobcook@gmail.com,Home,Opt-Out,1
amandabright@example.com,Other,Opt-In,21
brichardson@example.net,Unknown,Opt-In,14
crystalbrewer@example.org,Unknown,Opt-In,14
sheila57@willis.com,Work,Opt-Out,21
trevinofrancisco@gmail.com,Personal,Unkown,21
qmarquez@gmail.com,Personal,Opt-In,1
charlesbennett@yahoo.com,Personal,Opt-Out,7
wilsonalyssa@example.org,Unknown,Unkown,14
johnevans@example.com,Unknown,Unkown,21
chadwise@example.com,Unknown,Opt-In,14
dennishaley@hopkins.com,Home,Opt-In,1
danielhayes@ortiz.com,Work,Opt-In,14
horntommy@hotmail.com,Personal,Opt-In,7
thomas45@herman-trujillo.com,Work,Opt-Out,21
ohall@gonzalez.biz,Work,Opt-In,21
athompson@example.com,Other,Opt-In,21
wayne81@example.org,Other,Opt-In,14
vsmith@hotmail.com,Home,Opt-In,7
seangrimes@henry.org,Work,Opt-In,14
christophercampbell@flores.com,Work,Opt-Out,14
janderson@gmail.com,Home,Unkown,7
kathleen81@example.org,Unknown,Opt-In,21
qthompson@example.net,Unknown,Unkown,21
sarajohnson@example.net,Other,Unkown,14
roberthenry@example.com,Unknown,Unkown,21
katie91@example.org,Other,Opt-In,21
sharonsmith@robinson-mccoy.com,Work,Opt-Out,21
petersjennifer@yahoo.com,Home,Opt-Out,21
gabrielle88@gmail.com,Home,Opt-In,7
ricardomitchell@gmail.com,Home,Opt-Out,21
jcollins@gmail.com,Home,Opt-In,7
amanda87@jones.org,Work,Opt-Out,14
davisandrea@tanner-lyons.net,Work,Opt-In,21
huntereric@cordova.info,Work,Opt-Out,21
hshaw@example.org,Unknown,Opt-In,21
rosscatherine@harrison-young.info,Home,Opt-In,14
mblackwell@example.com,Unknown,Unkown,14
jessicagreene@example.net,Unknown,Opt-In,14
emily57@example.com,Other,Opt-In,14
gibsonandrew@hernandez.com,Home,Unkown,7
moniquethomas@example.org,Other,Opt-In,21
james20@hotmail.com,Personal,Opt-In,14
amandajordan@example.org,Unknown,Opt-In,14
isaac28@example.net,Other,Opt-In,14
bonnie86@example.net,Other,Opt-Out,21
thomasjohn@hotmail.com,Personal,Opt-Out,14
millermichael@hotmail.com,Personal,Opt-In,14
moralesjames@hotmail.com,Home,Opt-In,1
joshuamoreno@example.net,Other,Opt-In,14
lopezmichael@yahoo.com,Home,Opt-In,21
ashepard@example.org,Other,Unkown,14
catherinehensley@example.org,Other,Opt-Out,21
yzuniga@gamble.biz,Home,Unkown,21
oford@scott.org,Home,Opt-In,21
yjohnson@example.org,Unknown,Opt-In,21
sarahkidd@contreras.net,Work,Opt-In,21
huffmarcus@yahoo.com,Personal,Unkown,7
brianna93@adams.com,Home,Opt-In,7
jennifer49@example.com,Unknown,Unkown,14
julieowens@example.org,Other,Opt-In,14
jenna14@example.org,Unknown,Opt-In,21
jessica33@gmail.com,Personal,Opt-Out,1
daniellegarcia@yahoo.com,Home,Opt-In,21
judy45@bennett-newman.com,Home,Unkown,14
nmolina@example.com,Other,Unkown,21
thomascampbell@example.net,Other,Unkown,21
jenny21@yahoo.com,Home,Opt-In,21
jamiemartin@example.net,Other,Opt-In,21
timothy76@gmail.com,Personal,Opt-Out,14
burnsjonathan@example.net,Other,Opt-Out,14
justin89@example.net,Other,Opt-In,14
margaretdiaz@gmail.com,Personal,Opt-In,21
deanna06@example.com,Unknown,Unkown,14
michaelhughes@example.com,Unknown,Opt-In,21
cjones@yahoo.com,Personal,Opt-In,1
leonroman@example.net,Unknown,Opt-In,14
danielleoliver@gmail.com,Personal,Opt-In,14
christianwendy@example.com,Other,Opt-Out,21
ruizanthony@example.com,Other,Opt-In,21
kaylamoore@wilkins.com,Work,Opt-In,21
tfuentes@hotmail.com,Personal,Unkown,1
npage@example.org,Unknown,Opt-In,14
james89@example.org,Unknown,Opt-In,14
shannon22@example.org,Unknown,Unkown,14
jessica33@gonzalez.info,Home,Unkown,7
edwardsmelissa@thompson-rogers.com,Work,Opt-Out,21
walkerzachary@yahoo.com,Home,Unkown,1
anthony42@example.net,Unknown,Opt-In,21
ijennings@jackson.com,Work,Opt-Out,14
valerie32@example.com,Other,Opt-In,21
debbie56@example.org,Other,Unkown,21
porterdavid@example.org,Other,Opt-In,21
williampowell@yahoo.com,Personal,Opt-Out,21
brittney15@example.net,Unknown,Opt-In,14
sara43@hotmail.com,Personal,Opt-In,21
richard79@gmail.com,Home,Unkown,14
jfigueroa@hotmail.com,Home,Opt-Out,1
brentrobertson@example.org,Other,Opt-In,21
kristin81@example.net,Other,Opt-Out,21
janiceharris@example.org,Unknown,Opt-In,14
mcdowellstacy@example.net,Other,Opt-In,21
jerry42@scott.com,Work,Opt-Out,14
vfreeman@example.org,Unknown,Opt-In,21
thomasgardner@yahoo.com,Personal,Opt-In,21
tina28@example.net,Other,Unkown,21
tyler02@payne.com,Work,Opt-Out,30
james47@example.com,Other,Opt-Out,14
garciasean@hotmail.com,Home,Opt-In,7
kevinclark@example.net,Unknown,Opt-Out,14
robert42@nelson-sanders.org,Work,Opt-Out,21
nathanielwells@gmail.com,Personal,Unkown,7
christopher31@example.com,Unknown,Unkown,21
hamiltonjulie@hotmail.com,Home,Opt-Out,21
gary46@example.org,Other,Opt-In,14
vstanton@thomas.com,Work,Opt-Out,21
beardkristen@hoffman.com,Work,Opt-In,14
thomasjacob@hotmail.com,Home,Opt-In,21
pattersonscott@example.net,Other,Opt-Out,21
hgreen@example.com,Other,Opt-In,14
mbrown@gray-cervantes.com,Home,Opt-Out,7
jwest@example.com,Unknown,Opt-In,21
dawn29@yahoo.com,Personal,Unkown,14
walkeradam@yahoo.com,Personal,Unkown,21
shepherdpatricia@hotmail.com,Personal,Unkown,7
courtneycobb@example.com,Unknown,Opt-Out,21
rgutierrez@hotmail.com,Home,Unkown,14
robinsonkaren@yahoo.com,Personal,Unkown,7
nrubio@boyer.net,Work,Opt-Out,14
dlopez@bernard.info,Home,Unkown,1
henry61@gmail.com,Personal,Opt-Out,21
palmerdonna@example.com,Other,Unkown,14
christinechavez@brown-brown.com,Home,Opt-In,7
tyler99@hotmail.com,Personal,Unkown,1
rhodeskristen@example.org,Unknown,Unkown,21
rachelschultz@yahoo.com,Home,Opt-In,1
qmurphy@example.org,Other,Opt-In,21
bushpeter@hernandez.org,Home,Opt-Out,21
muellerjeremy@example.net,Unknown,Opt-Out,14
thomasadams@zuniga.com,Work,Opt-In,21
galvanalexandra@example.net,Unknown,Opt-Out,21
daniel50@brown.com,Home,Opt-In,1
edwardking@example.org,Unknown,Opt-In,14
srichard@example.org,Other,Opt-In,21
edward94@reynolds.com,Work,Opt-Out,30
freemananna@yahoo.com,Home,Opt-Out,1
coopermark@yahoo.com,Personal,Unkown,21
daniellynch@example.net,Unknown,Opt-Out,21
ldominguez@example.org,Other,Opt-In,14
walkernicole@example.net,Unknown,Opt-In,21
rvalentine@example.net,Other,Opt-Out,14
gonzalezalex@martin.com,Home,Opt-In,21
esmith@daniels.biz,Work,Opt-Out,7
colliernathaniel@example.net,Unknown,Opt-In,21
fthompson@example.org,Other,Opt-In,21
meredithgilbert@rose-peterson.info,Work,Opt-In,30
jameskathryn@gmail.com,Personal,Unkown,7
spencer45@example.org,Other,Opt-In,21
jamesboyd@example.net,Unknown,Opt-In,21
smithsabrina@ramos.com,Home,Opt-In,7
peter14@hotmail.com,Home,Opt-Out,7
kathryn08@gmail.com,Personal,Unkown,21
briannahuber@example.org,Unknown,Opt-In,21
stoneshelley@example.org,Other,Unkown,14
kellystone@yahoo.com,Home,Opt-In,14
andreaestrada@chavez.com,Home,Opt-In,7
mcmillanlisa@example.net,Other,Opt-In,14
gatesmarvin@example.org,Other,Opt-In,21
kedwards@rodriguez.info,Work,Opt-Out,21
dcruz@perez-davis.com,Home,Opt-Out,21
acummings@example.org,Unknown,Opt-In,21
torresmelissa@lloyd.biz,Home,Opt-In,7
maguirre@example.com,Unknown,Opt-Out,21
ruthanderson@gmail.com,Home,Opt-In,14
amber84@barnett-scott.com,Home,Opt-In,7
usandoval@vance.info,Work,Opt-In,14
jeffreywoodard@example.net,Unknown,Opt-In,14
william47@hampton.com,Work,Opt-Out,21
kimberlyreed@hotmail.com,Home,Opt-In,7
galvanjennifer@smith.org,Work,Opt-Out,21
shanetrevino@munoz-hall.com,Work,Opt-In,14
jessicawilson@howard-scott.info,Work,Opt-In,7
pamelathompson@morris.com,Work,Opt-Out,14
rhart@potts.net,Home,Opt-Out,21
nriggs@example.org,Other,Opt-Out,21
eavery@example.net,Other,Opt-Out,14
christopher25@example.org,Unknown,Opt-In,14
tammypeters@brooks.com,Home,Opt-In,21
leejennifer@hotmail.com,Personal,Opt-In,1
andrewwilson@example.com,Other,Unkown,21
farleypatricia@example.com,Unknown,Unkown,14
jasongonzalez@lara.com,Home,Opt-In,21
esmith@example.org,Unknown,Opt-Out,14
vincentblack@steele-levine.com,Home,Opt-In,1
ahooper@example.net,Other,Opt-In,14
brandon43@example.com,Unknown,Unkown,14
ashley49@example.net,Unknown,Opt-In,21
davidwoods@example.com,Other,Opt-In,14
hsantiago@lin.org,Work,Opt-In,21
scotthannah@hotmail.com,Home,Unkown,14
chelsey54@yahoo.com,Home,Unkown,21
aferguson@gmail.com,Personal,Unkown,14
haleyraymond@hotmail.com,Home,Unkown,21
rchambers@hotmail.com,Personal,Opt-In,7
johnsonjohn@alvarez.biz,Work,Opt-Out,21
mkim@davis.com,Work,Opt-In,14
camposjuan@riley-hatfield.info,Work,Opt-Out,21
nboyd@yahoo.com,Personal,Opt-In,21
ysimmons@yahoo.com,Personal,Unkown,21
bowersmatthew@mercer.net,Home,Opt-Out,21
ucastillo@hoover.info,Work,Opt-Out,30
laura46@hotmail.com,Personal,Opt-In,1
lthomas@smith.com,Work,Opt-Out,14
bwebb@jones.com,Work,Opt-In,7
rmays@graham.com,Work,Opt-In,30
watkinskatherine@example.com,Other,Opt-Out,21
hliu@example.org,Unknown,Opt-In,21
jamiehartman@hotmail.com,Home,Unkown,7
jeffrey29@example.com,Unknown,Opt-In,14
jaredsmith@example.org,Other,Opt-In,21
andrew05@yahoo.com,Personal,Opt-In,1
edgarcamacho@jimenez.com,Work,Opt-Out,14
crystal57@example.com,Other,Opt-In,14
ybutler@harmon.org,Work,Opt-In,7
fcurtis@hotmail.com,Personal,Opt-Out,21
ucastro@bradley.org,Home,Unkown,1
morrisonannette@hotmail.com,Home,Opt-In,21
xwilkins@hotmail.com,Personal,Opt-Out,21
omorales@gmail.com,Personal,Opt-Out,7
lestergregory@example.com,Unknown,Opt-In,21
becky89@yahoo.com,Personal,Unkown,1
cbryant@forbes.com,Work,Opt-In,30
krista43@example.com,Unknown,Unkown,21
meganwebb@example.net,Other,Unkown,14
idaugherty@example.net,Unknown,Opt-Out,14
josephmiles@example.net,Unknown,Opt-In,21
kcoleman@gray.com,Work,Opt-In,30
arnoldalbert@example.com,Other,Opt-Out,21
lopezrobin@gmail.com,Personal,Opt-In,14
youngmary@mendez.info,Work,Opt-Out,7
petersonrodney@hotmail.com,Personal,Opt-In,7
ureed@mckenzie.info,Work,Opt-Out,30
laurie11@hotmail.com,Personal,Unkown,14
dalton59@may.com,Work,Opt-In,21
lbarnett@example.com,Other,Opt-In,21
martinezcharles@example.org,Unknown,Opt-In,21
carly95@example.com,Other,Opt-In,21
jbarnes@example.com,Other,Unkown,21
bradley69@gmail.com,Personal,Unkown,14
cynthiasalazar@example.com,Other,Opt-In,21
bcole@craig.biz,Work,Opt-Out,14
smithpeter@example.com,Unknown,Opt-In,21
mark51@example.com,Other,Opt-Out,14
jonesdawn@williams.org,Work,Opt-In,21
fdiaz@hotmail.com,Home,Unkown,14
anthonyyoung@conley-garcia.com,Work,Opt-In,21
ttaylor@example.com,Other,Opt-In,21
eric49@flynn.net,Home,Opt-Out,21
carterdavid@example.org,Other,Opt-In,21
ajackson@yahoo.com,Home,Unkown,21
matthew40@example.net,Unknown,Opt-In,14
glin@crawford.org,Home,Opt-In,21
david62@example.com,Unknown,Opt-In,21
bwright@hoffman-cook.com,Work,Opt-Out,21
thomasrachel@foster.biz,Work,Opt-Out,30
yluna@example.com,Other,Opt-In,14
michael80@example.net,Unknown,Opt-In,21
gregorymontgomery@hotmail.com,Personal,Opt-In,1
ryangonzalez@example.org,Other,Opt-In,21
jamescrystal@diaz.com,Work,Opt-In,21
bankslori@example.net,Unknown,Opt-In,14
daniel35@ramos-lang.com,Home,Opt-In,1
asmall@example.com,Unknown,Opt-Out,14
tylerwilliams@example.org,Unknown,Opt-Out,21
chelseasmith@example.com,Other,Opt-Out,14
johnrobinson@example.net,Unknown,Opt-In,21
erikaturner@yahoo.com,Personal,Opt-In,7
barneskelly@example.com,Other,Opt-Out,21
curtis55@allen.com,Work,Opt-Out,7
austin56@mccoy.org,Work,Opt-Out,30
gilberttheresa@brown.com,Work,Opt-In,30
mlong@example.org,Unknown,Opt-Out,21
rmartinez@gmail.com,Personal,Opt-In,14
rosechristopher@yahoo.com,Personal,Opt-In,7
abradley@yahoo.com,Home,Opt-In,14
deanchristina@sanders.info,Work,Opt-Out,7
tortiz@wheeler-gibson.com,Work,Opt-In,30
michael79@yahoo.com,Personal,Unkown,14
colekristine@example.com,Other,Opt-Out,21
benjamin70@example.com,Unknown,Opt-Out,21
kjenkins@hunt.net,Work,Opt-Out,14
hayesanthony@coleman-jacobson.com,Work,Opt-Out,30
lindsayharris@walker-melendez.com,Home,Opt-Out,1
vvazquez@chan.com,Work,Opt-In,7
eserrano@carr-guzman.org,Work,Opt-In,14
jeffrey85@example.com,Unknown,Opt-Out,21
paulacampbell@fry.org,Home,Opt-In,14
lisasanders@example.net,Unknown,Opt-In,14
hthompson@example.org,Other,Opt-In,21
richardsondawn@example.org,Other,Opt-In,14
foxmatthew@example.com,Other,Opt-In,14
petersheather@gmail.com,Personal,Opt-Out,7
mbennett@friedman.com,Work,Opt-Out,7
jclark@yahoo.com,Personal,Opt-In,1
pamela11@example.org,Other,Opt-In,21
benjaminlee@yahoo.com,Personal,Opt-In,21
balladam@example.org,Other,Opt-In,14
nicolegalvan@example.com,Unknown,Opt-Out,14
dennisbriggs@bennett-rhodes.info,Work,Opt-In,14
amy46@example.com,Other,Unkown,21
gilbertann@example.com,Other,Opt-In,21
victoriadouglas@example.com,Other,Opt-Out,21
kingjon@yahoo.com,Personal,Opt-In,7
gordonhoward@dawson-nelson.com,Work,Opt-Out,21
hornjennifer@boyd.org,Home,Unkown,14
xmartinez@example.com,Unknown,Opt-In,21
gkramer@miller.org,Work,Opt-Out,30
stephanie99@example.org,Unknown,Opt-Out,14
richmondjoseph@marks.com,Home,Opt-In,7
rwright@williams.net,Work,Opt-Out,30
rosecraig@example.net,Other,Opt-Out,14
bartonjames@spence-lopez.org,Work,Opt-Out,21
brandon58@example.org,Unknown,Unkown,14
conradheidi@example.com,Unknown,Opt-Out,14
scottadkins@gmail.com,Home,Unkown,21
brucedorsey@hotmail.com,Home,Unkown,14
zmontgomery@rivera-henderson.com,Work,Opt-In,7
mitchellchristopher@stein-schmidt.com,Work,Opt-Out,14
ramseyamanda@martinez-lynch.biz,Work,Opt-Out,7
destrada@bennett.info,Work,Opt-Out,14
odomsheri@charles.info,Work,Opt-In,21
ruth19@hotmail.com,Personal,Opt-In,1
