customer_id,first_name,last_name,user_name,gender,ssn,birthdate,job,creditcard,ethnicity,married,income,education,source_id
25,Sarah,Williams,williarah950,F,494-17-9486,2016-03-24,Psychotherapist dance movement,3558781878307821|03/28|VISA 13 digit,Black,M,25000,MA,40
26,Tabitha,Mercado,mercaitha995,F,645-62-9785,1912-09-24,Doctor general practice,3522949443868261|01/27|VISA 16 digit,White,M,175000,HS,11
27,Margaret,Miller,millearet828,F,766-03-3431,1932-02-02,Medical secretary,2229920036178085|01/31|JCB 15 digit,Indian,D,75000,HS,36
28,Amanda,Pham,phamanda715,F,790-86-9430,1938-09-20,Biomedical engineer,3508220029171662|11/29|JCB 16 digit,Other,M,800000,MA,12
29,Jacob,Reid,reidacob945,M,650-97-2771,1963-12-11,Building surveyor,4049752838531222657|10/22|Maestro,Latino,M,25000,AA,13
30,Todd,Howell,howeltodd580,M,436-35-6815,1973-11-28,Broadcast engineer,342906411316198|08/22|VISA 16 digit,Black,D,550000,DR,3
31,Sandra,Wagner,wagnendra399,F,533-83-2213,1956-05-25,Furniture designer,4671896101008135|08/22|Discover,Black,M,500000,HS,35
32,Tony,Martin,martitony477,M,266-42-0060,1961-01-27,Building services engineer,4652410190841|04/22|Discover,Other,M,450000,BA,6
33,Shannon,Alvarado,alvarnnon414,F,385-05-0530,1949-05-03,Control and instrumentation engineer,30187835427302|05/23|Mastercard,Indian,M,1000000,AA,6
34,Scott,Tucker,tuckecott789,M,035-93-6948,2004-08-23,Therapeutic radiographer,342134163365541|03/25|JCB 16 digit,Other,M,550000,DR,22
35,Jason,Kramer,krameason067,M,861-66-7234,1946-08-26,Charity officer,503889547033|09/25|VISA 16 digit,Other,M,500000,BA,35
36,Donald,Stone,stonenald871,M,410-16-6007,2020-10-02,Lecturer further education,4203333113983757266|06/27|VISA 19 digit,Indian,M,300000,BA,36
37,Donald,Stone,stonenald871,M,410-16-6007,2020-10-02,Lecturer further education,4203333113983757266|06/27|VISA 19 digit,Indian,M,300000,BA,36
38,Randy,Nolan,nolanandy848,M,296-08-9321,1930-02-27,Chief of Staff,6597725207859818|08/28|JCB 16 digit,Other,M,450000,MA,39
39,Travis,Martinez,martiavis567,M,834-61-5074,1948-04-30,Air traffic controller,30486049016640|04/23|VISA 13 digit,Black,M,450000,HS,13
40,Adam,Martinez,martiadam227,M,483-15-5998,1922-05-26,Scientist forensic,676210966260|11/26|VISA 13 digit,Other,M,50000,DR,17
41,Brandon,Valdez,valdendon585,M,787-24-4397,1984-07-25,Loss adjuster chartered,6011456568604431|07/27|JCB 15 digit,Other,D,250000,MA,27
42,Hannah,Hunt,huntnnah946,U,326-85-1667,2010-09-18,Photographer,4496834078874074374|05/25|VISA 19 digit,Black,M,25000,DR,44
43,James,Brown,brownames246,M,110-38-1143,1915-03-17,Education officer community,4734319231424838|07/25|Diners Club,Other,D,100000,BA,34
44,Frank,Robinson,robinrank849,M,196-91-8845,1911-12-08,Broadcast engineer,578567514356|11/27|JCB 15 digit,Other,M,450000,DR,24
45,Amanda,Hubbard,hubbaanda066,F,427-13-2126,2017-05-12,Solicitor,2272690012971623|08/30|JCB 15 digit,White,M,275000,BA,11
46,Kristie,Williams,willistie761,F,654-41-9797,1976-10-22,Personal assistant,38484339743876|09/24|JCB 16 digit,Other,M,550000,BA,3
47,Amy,Howard,howaramy902,U,581-94-3974,2020-06-09,Diagnostic radiographer,2308276153818795|02/31|JCB 16 digit,White,M,275000,HS,12
48,Joseph,Young,youngseph784,M,513-19-9065,1923-02-13,Media buyer,3564319655653927|07/24|VISA 16 digit,Indian,M,450000,AA,24
49,Melissa,Bartlett,bartlissa295,F,443-52-4566,1996-02-03,Dispensing optician,4450427463214|04/29|JCB 16 digit,White,D,175000,MA,32
50,Daniel,Wong,wongniel298,M,409-88-0038,1928-06-08,Engineer electrical,6559700848508849|12/29|VISA 13 digit,Indian,M,200000,MA,41
51,Erin,Mason,masonerin683,F,309-27-1915,1940-03-22,Chief Technology Officer,3586319971575691|05/31|VISA 16 digit,Other,M,250000,MA,30
52,Daniel,Pope,popeniel759,M,754-04-5102,1954-07-03,Community development worker,060444731222|01/25|Diners Club,Asian,M,175000,MA,18
53,Jessica,Scott,scottsica355,U,787-49-3344,2004-09-27,Advice worker,6011078152176491|07/31|Discover,Other,S,500000,BA,35
54,James,Morrison,morriames520,M,266-32-5371,1936-09-16,Artist,3598727493421572|01/24|Mastercard,Latino,S,550000,BA,37
55,Ricky,Turner,turneicky589,M,777-22-3904,1917-06-01,Wellsite geologist,6542075822325258|02/31|JCB 16 digit,Asian,S,600000,AA,9
56,Ian,Wright,wrighian924,U,378-55-9250,2005-12-01,Legal secretary,36098608885192|05/24|American Express,Indian,M,100000,HS,6
57,Dylan,Franklin,frankylan089,M,214-10-6761,1916-05-24,Community development worker,4889673931581013|08/23|JCB 15 digit,Asian,M,500000,MA,27
58,Robin,Fowler,fowleobin981,F,479-33-7080,1932-06-01,Sub,4366912910828793|11/30|Maestro,Black,M,175000,HS,39
59,Taylor,Torres,torreylor008,U,262-63-8158,1993-08-29,Occupational hygienist,4808741283919657|06/26|Discover,Black,M,150000,BA,16
60,Lisa,Sanders,sandelisa567,U,576-38-2727,1987-09-26,Radiation protection practitioner,4783093493981484|11/24|JCB 16 digit,Latino,M,50000,HS,16
61,Mary,Contreras,contrmary396,F,877-46-0428,1959-02-03,Paramedic,3531915963880381|01/26|VISA 16 digit,Indian,M,125000,MA,33
62,Robert,Schneider,schnebert352,M,859-75-6452,1976-08-10,Special educational needs teacher,180047551754230|07/27|Discover,Black,M,700000,HS,29
63,Cody,Nash,nashcody046,M,130-55-2106,1914-05-23,Diplomatic Services operational officer,4008534559530698884|03/25|Mastercard,Asian,M,550000,HS,37
64,Victoria,Stewart,stewaoria209,F,165-36-7939,2000-07-30,Customer service manager,676101359377|03/25|Diners Club,Black,S,350000,HS,28
65,Jeffery,Moore,moorefery184,M,426-12-4581,1908-10-24,Personnel officer,4077629231557170|12/23|Maestro,White,M,300000,HS,42
66,Audrey,Escobar,escobdrey801,F,865-99-6412,1926-09-23,Programmer applications,2294356229495657|01/29|VISA 13 digit,Asian,M,1000000,HS,20
67,John,Brewer,brewejohn178,M,122-65-1378,1974-08-18,Engineer drilling,213167271250011|12/24|American Express,Asian,M,300000,HS,22
68,Maria,Keller,kellearia444,F,823-07-9710,2009-02-17,Investment banker operational,676340785655|05/22|American Express,Black,M,250000,BA,24
69,Sarah,Peterson,peterarah081,F,021-86-2754,1906-05-10,Engineer manufacturing systems,4048189194280|08/23|Maestro,White,M,600000,AA,11
70,Jacob,Mahoney,mahonacob040,M,091-32-8751,1915-06-13,Sports development officer,6011975327782956|02/30|Discover,Black,D,175000,HS,3
71,Anna,Smith,smithanna770,F,649-73-9004,2010-12-30,Museum/gallery curator,3555623219939511|04/27|Discover,Indian,M,225000,BA,20
72,John,Downs,downsjohn772,M,796-26-6594,2011-04-28,Teacher English as a foreign language,3558415998091904|06/23|Discover,Asian,S,300000,BA,18
73,Zachary,Stephens,stephhary253,M,129-87-7308,1923-02-18,Company secretary,2288631636095284|01/27|Discover,White,M,300000,HS,30
74,Zachary,Stephens,stephhary253,M,129-87-7308,1923-02-18,Company secretary,2288631636095284|01/27|Discover,White,M,300000,HS,30
75,Penny,Page,pageenny299,F,526-45-5694,1916-10-22,Comptroller,2304424030758172|09/25|Diners Club,Black,M,550000,HS,5
76,Laura,Hobbs,hobbsaura018,F,229-11-5997,1997-11-20,Food technologist,572947186969|12/22|VISA 16 digit,Other,M,450000,HS,8
77,Brian,Hernandez,hernarian582,M,445-52-4387,1939-05-30,Psychotherapist,30432299505775|03/27|VISA 13 digit,Black,M,125000,BA,38
78,Alexandria,Cook,cookdria242,F,856-86-8865,1995-02-20,Statistician,38880275601590|02/22|JCB 16 digit,Black,M,400000,AA,20
79,Angela,Roberts,robergela820,F,702-71-9178,1919-04-14,Wellsite geologist,4351244627313530|01/28|Diners Club,Black,M,600000,AA,8
80,Todd,Wang,wangtodd913,M,391-36-0198,1997-10-14,Surgeon,4919362242174361|12/22|American Express,Black,D,125000,HS,8
81,Susan,Garza,garzausan882,F,208-65-5692,1968-04-13,Actor,349970851791453|08/22|VISA 19 digit,Black,D,25000,HS,37
82,Cheryl,King,kingeryl272,F,453-52-2503,1953-09-06,Geoscientist,3588451763576294|09/22|VISA 19 digit,White,M,550000,HS,6
83,Hayley,Nelson,nelsoyley869,F,067-03-2246,2012-10-09,Surveyor mining,4554850169730181|12/23|VISA 16 digit,Other,M,1000000,MA,12
84,Jennifer,Santiago,santiifer665,F,636-92-6444,1926-12-23,Futures trader,213182995787677|01/26|Mastercard,Indian,M,75000,HS,30
85,Kayla,Gray,grayayla904,F,445-78-6978,1927-12-13,Senior tax professional/tax inspector,3573637201693579|11/28|VISA 19 digit,Latino,M,75000,DR,12
86,Jordan,Coleman,colemrdan303,M,410-44-5505,1991-02-03,Producer radio,3551503986572154|03/27|Maestro,Black,M,35000,HS,21
87,Jordan,Coleman,colemrdan303,M,410-44-5505,1991-02-03,Producer radio,3551503986572154|03/27|Maestro,Black,M,35000,HS,21
88,Barbara,Douglas,douglbara444,F,642-89-2221,1987-02-25,Psychotherapist dance movement,5581375883310742|08/23|VISA 16 digit,White,M,35000,AA,10
89,Chloe,Young,younghloe397,F,885-42-9429,1914-11-14,Conference centre manager,348021164062488|11/22|JCB 16 digit,Other,M,600000,AA,38
90,Donna,Banks,banksonna620,F,455-76-9929,2018-09-18,Photographer,4125413223179989066|08/28|JCB 16 digit,Black,M,500000,HS,3
91,Jose,Lynch,lynchjose397,M,557-11-9626,1970-09-25,Fast food restaurant manager,6524011058042962|11/28|Diners Club,Asian,U,1000000,HS,23
92,Sean,Walker,walkesean608,M,329-54-5096,1958-08-12,Futures trader,6011393135463936|08/23|Mastercard,Other,M,800000,BA,14
93,Dana,Cox,coxdana656,F,122-82-6065,1958-10-04,Designer exhibition/display,4408879043349373430|02/28|JCB 16 digit,Asian,M,700000,HS,41
94,Dana,Cox,coxdana656,F,122-82-6065,1958-10-04,Designer exhibition/display,4408879043349373430|02/28|JCB 16 digit,Asian,M,700000,HS,41
95,Jonathan,Murray,murrathan546,M,682-98-6811,1983-03-28,Programmer applications,4882607050696571|01/23|Diners Club,Indian,S,1000000,BA,1
96,Barbara,Brown,brownbara183,F,108-89-9195,1981-05-31,Geochemist,4565643005836|03/22|Maestro,Black,M,450000,AA,13
97,Carolyn,Hernandez,hernaolyn252,F,326-14-5594,1960-05-17,Production designer theatre/television/film,36610684188562|11/29|JCB 16 digit,Black,M,500000,HS,41
98,Jennifer,Miller,milleifer207,F,754-20-3877,1962-06-19,Museum/gallery conservator,6545015097382839|07/25|Maestro,Other,M,900000,MA,44
99,Evan,Rogers,rogerevan796,U,336-26-9639,1916-11-23,Bookseller,6011765358911040|08/30|VISA 13 digit,Other,D,325000,BA,26
100,Steven,Cox,coxeven925,M,368-84-7899,1939-01-19,Therapeutic radiographer,4676940779369|09/31|VISA 19 digit,Other,D,250000,BA,33
101,Dustin,Brown,brownstin161,M,401-74-1883,1948-07-30,Herbalist,343821313852209|03/30|JCB 16 digit,Other,M,125000,HS,12
102,Dustin,Huffman,huffmstin652,M,616-17-1915,1961-07-10,Quarry manager,30477699579318|01/30|JCB 16 digit,White,D,450000,AA,10
103,James,Patel,patelames060,M,164-55-0222,1918-11-26,Historic buildings inspector/conservation officer,4719238356287049200|06/24|Maestro,White,M,75000,BA,7
104,Erin,Mcdonald,mcdonerin915,F,156-88-5261,1936-10-07,Chief Financial Officer,4704104890470892|11/30|VISA 13 digit,Other,M,1000000,DR,38
105,Jose,Burns,burnsjose337,M,821-93-5573,1937-11-19,Records manager,371617008032346|12/23|American Express,Black,M,400000,BA,38
106,Christopher,Ashley,ashlepher526,M,567-27-7433,1953-09-11,Charity officer,371704008487421|04/25|VISA 16 digit,Black,D,1000000,HS,22
107,Jason,Rodriguez,rodriason594,M,573-48-8776,1933-12-23,Legal secretary,3503787406422020|05/25|JCB 16 digit,Indian,M,300000,AA,17
108,Jason,Rodriguez,rodriason594,M,573-48-8776,1933-12-23,Legal secretary,3503787406422020|05/25|JCB 16 digit,Indian,M,300000,AA,17
109,Tina,Moore,mooretina112,F,504-86-5597,1951-08-03,Bonds trader,4526292390616043|09/22|Diners Club,Latino,M,250000,MA,30
110,Sandra,Chavez,chavendra292,F,894-14-5044,2015-09-24,Paramedic,6519005156104291|07/31|VISA 19 digit,White,S,400000,HS,36
111,Sandra,Chavez,chavendra292,F,894-14-5044,2015-09-24,Paramedic,6519005156104291|07/31|VISA 19 digit,White,S,400000,HS,36
112,Michael,West,westhael118,M,609-84-6832,1997-01-18,Media planner,6011302759781861|10/23|Maestro,White,M,250000,BA,28
113,Robert,Oneal,onealbert922,M,693-84-5225,1960-09-09,Armed forces training and education officer,2292513565366775|05/29|VISA 19 digit,Black,D,700000,AA,42
114,Kelly,Carr,carrelly349,F,444-68-0813,1979-03-21,Magazine features editor,213132157998166|03/28|Maestro,Other,M,550000,AA,28
115,James,Pineda,pinedames950,M,518-40-1623,1967-09-24,Garment/textile technologist,4439523250410754|07/29|Maestro,Black,M,275000,BA,34
116,Curtis,Hartman,hartmrtis367,M,185-46-3009,1993-04-13,Accounting technician,344704322281769|03/25|Discover,White,M,600000,HS,27
117,Curtis,Hartman,hartmrtis367,M,185-46-3009,1993-04-13,Accounting technician,344704322281769|03/25|Discover,White,M,600000,HS,27
118,Aaron,Wheeler,wheelaron640,M,551-36-5453,1999-11-07,Optician dispensing,180085555168809|10/28|VISA 16 digit,Latino,S,25000,HS,13
119,Connor,Sims,simsnnor095,M,774-98-2754,2016-06-27,Teacher early years/pre,4266220718546644489|11/30|JCB 16 digit,Other,M,250000,BA,28
120,Eric,Jimenez,jimeneric552,M,503-36-3822,1939-05-16,Aid worker,3577974952759572|07/22|JCB 15 digit,White,M,175000,MA,32
121,Danny,Sellers,selleanny767,M,112-19-4701,1935-08-24,Exhibitions officer museum/gallery,342161503048834|01/31|Discover,Other,M,50000,MA,23
122,Carla,Davis,davisarla132,F,584-23-0694,2014-10-01,Art gallery manager,4548914030755581820|08/27|Discover,Other,M,700000,BA,31
123,Carla,Davis,davisarla132,F,584-23-0694,2014-10-01,Art gallery manager,4548914030755581820|08/27|Discover,Other,M,700000,BA,31
124,Stacy,Phillips,philltacy610,F,402-49-3072,1967-01-10,Fish farm manager,2261736764997283|12/25|JCB 16 digit,Black,M,600000,AA,22
125,James,Stokes,stokeames853,M,780-95-8822,1907-06-09,Brewing technologist,3530457226093008|11/25|Mastercard,Black,M,150000,DR,11
126,James,Stokes,stokeames853,M,780-95-8822,1907-06-09,Brewing technologist,3530457226093008|11/25|Mastercard,Black,M,150000,DR,11
127,Jonathan,Leach,leachthan302,M,033-09-4506,1962-02-06,Music therapist,4776601658538862|05/23|Discover,White,S,450000,BA,32
128,Crystal,Stout,stoutstal602,F,201-78-6064,2009-01-05,Physiotherapist,213117359321648|12/25|JCB 15 digit,Black,D,225000,DR,9
129,Andrew,Thompson,thompdrew067,M,223-53-7493,1913-01-07,Early years teacher,4468682456747403|08/28|Discover,Indian,D,100000,MA,33
130,Andrew,Thompson,thompdrew067,M,223-53-7493,1913-01-07,Early years teacher,4468682456747403|08/28|Discover,Indian,D,100000,MA,33
131,Seth,Avila,avilaseth102,M,211-82-8375,1958-12-04,Haematologist,3579427161961651|12/22|VISA 13 digit,Other,M,900000,BA,6
132,Alyssa,Henderson,hendeyssa432,F,625-08-2689,1996-12-22,Designer industrial/product,4561365280244276725|09/24|JCB 16 digit,White,D,275000,DR,6
133,Christina,Sanders,sandetina530,F,729-70-4495,2019-12-22,Research scientist (medical),4884980434958399|04/30|VISA 16 digit,Black,M,175000,MA,43
134,Faith,Raymond,raymoaith504,U,463-31-2387,1992-08-05,Geophysical data processor,503877461197|10/29|VISA 13 digit,Black,M,300000,HS,33
135,Diana,Martinez,martiiana191,F,509-67-8987,1984-10-21,Engineer land,30512854803317|01/22|JCB 16 digit,White,S,275000,MA,38
136,Robin,Barnes,barneobin029,F,090-17-1198,1958-10-31,Producer radio,4181202585480264753|11/29|Diners Club,Black,M,900000,BA,20
137,Eric,Salazar,salazeric236,M,565-92-9268,2017-08-06,Heritage manager,375014108616317|08/23|JCB 16 digit,Asian,S,300000,AA,41
138,Devin,Williams,willievin444,M,296-04-3771,1916-08-22,Interpreter,4792697471926|12/26|VISA 19 digit,White,M,75000,AA,40
139,Amanda,Owens,owensanda973,F,015-77-3536,1944-07-11,Chartered loss adjuster,4849324826237332|06/24|VISA 16 digit,Other,M,125000,MA,11
140,Maria,Thompson,thomparia419,U,602-63-6734,1932-04-29,Structural engineer,4133418565032493|02/31|Mastercard,Latino,D,175000,HS,1
141,Jonathan,Smith,smiththan249,M,724-92-3691,1982-09-02,Primary school teacher,4274172709195|06/22|Maestro,Other,M,25000,HS,40
142,Vanessa,Long,longessa708,U,749-86-2839,1922-05-22,Special effects artist,4545211070638819|10/29|VISA 19 digit,Asian,M,550000,AA,20
143,Julie,Coleman,colemulie193,F,275-30-9213,1999-08-01,Warehouse manager,676157509610|10/22|JCB 16 digit,Asian,M,600000,BA,23
144,Collin,Griffin,griffllin320,M,159-26-2712,2016-03-25,Television production assistant,6011753149033126|05/22|VISA 19 digit,Other,M,700000,BA,37
145,James,Andrews,andreames769,M,858-40-5392,1918-07-26,Radiographer diagnostic,630413755319|11/27|American Express,Black,M,300000,DR,38
146,Patrick,Stone,stonerick520,M,739-15-3377,1923-06-23,Ambulance person,4126671349600212|02/22|VISA 16 digit,Other,M,900000,MA,33
147,Jennifer,Thomas,thomaifer139,F,314-21-8601,1927-08-13,Editor magazine features,372124841996372|01/31|JCB 15 digit,White,M,25000,MA,29
148,Andrew,Gaines,gainedrew740,M,685-11-3178,1922-01-31,Purchasing manager,4558244789957793380|07/24|JCB 15 digit,White,M,800000,MA,2
149,Melissa,Williams,williissa864,F,265-83-2771,1919-03-21,Chartered certified accountant,371373713792556|08/31|JCB 15 digit,Other,M,300000,BA,36
150,Joshua,Thomas,thomashua268,M,271-19-0190,2009-08-06,Further education lecturer,6011887955949825|07/27|American Express,Indian,D,150000,BA,18
151,Daniel,Macdonald,macdoniel338,M,466-58-3426,1980-06-07,Catering manager,5482019391619364|05/26|VISA 13 digit,Other,D,250000,HS,9
152,Tina,Hernandez,hernatina571,F,127-24-5407,1989-09-10,Housing manager/officer,3553533500563585|01/31|JCB 15 digit,Latino,D,35000,BA,26
153,John,Obrien,obriejohn660,M,459-57-6509,2007-11-05,Designer industrial/product,4959552770873571|02/29|Diners Club,Indian,U,175000,MA,36
154,Vincent,Johnson,johnscent391,M,519-88-4221,2018-09-04,Engineer agricultural,375792235260931|06/23|VISA 19 digit,Other,M,175000,BA,18
155,Christopher,Clark,clarkpher027,M,429-89-9918,2021-03-17,Planning and development surveyor,30452590457492|02/31|Mastercard,Black,M,325000,DR,3
156,Vincent,Johnston,johnscent859,M,842-94-5483,1909-09-30,Manufacturing engineer,375032771521218|03/23|JCB 16 digit,Indian,D,450000,BA,18
157,Connie,Nelson,nelsonnie788,F,525-17-8098,1929-10-21,Investment banker operational,2444858195071791|09/26|Diners Club,Other,M,900000,DR,37
158,Debra,Carrillo,carriebra260,F,571-02-9015,1951-07-16,Chartered certified accountant,3540322379965956|08/25|American Express,Indian,M,35000,HS,6
159,Kyle,Manning,mannikyle102,M,244-38-4490,1990-11-10,Engineer maintenance (IT),2249052839498803|06/24|VISA 19 digit,Black,M,35000,DR,9
160,Keith,Lyons,lyonseith598,M,837-45-3408,1973-11-13,General practice doctor,3594736007050946|08/28|Maestro,White,D,250000,HS,4
161,Gary,Cervantes,cervagary097,M,314-95-8839,1948-06-09,Aid worker,5178630818049214|04/26|JCB 15 digit,Indian,M,450000,BA,29
162,Cody,Smith,smithcody142,M,589-50-2063,1960-03-24,Structural engineer,5247208466656601|02/31|Mastercard,White,D,275000,MA,29
163,Cody,Smith,smithcody142,M,589-50-2063,1960-03-24,Structural engineer,5247208466656601|02/31|Mastercard,White,D,275000,MA,29
164,Charles,Duke,dukerles882,M,801-88-3605,1972-03-15,Embryologist clinical,377191213901210|07/30|Discover,Other,M,350000,BA,16
165,Anthony,Klein,kleinhony267,M,689-63-9685,1942-08-03,Radio broadcast assistant,4755239132561|06/27|JCB 16 digit,Latino,M,250000,HS,29
166,Anthony,Klein,kleinhony267,M,689-63-9685,1942-08-03,Radio broadcast assistant,4755239132561|06/27|JCB 16 digit,Latino,M,250000,HS,29
167,Bruce,Watkins,watkiruce653,M,844-59-6997,1920-06-22,Chief Financial Officer,4694001160559184|10/24|Diners Club,Other,U,600000,BA,16
168,Emily,Li,limily726,F,205-77-5550,1938-09-15,Programmer systems,6011039480783952|04/26|VISA 13 digit,Black,D,25000,AA,18
169,Edwin,Dominguez,domindwin560,M,053-24-7747,1988-07-09,Research officer government,4817444825486|02/24|VISA 13 digit,White,M,700000,BA,14
170,Edwin,Dominguez,domindwin560,M,053-24-7747,1988-07-09,Research officer government,4817444825486|02/24|VISA 13 digit,White,M,700000,BA,14
171,Paul,Salazar,salazpaul826,M,762-45-3687,1947-10-28,Embryologist clinical,587415888086|10/29|Mastercard,Black,D,100000,BA,36
172,Jamie,Davis,davisamie132,F,819-94-8007,1946-02-25,Scientist physiological,340307897680813|04/22|American Express,Black,M,700000,BA,34
173,Deanna,Anderson,anderanna836,F,862-35-5585,2012-06-22,Designer multimedia,3542103822692159|10/31|American Express,Other,M,800000,MA,41
174,Deanna,Anderson,anderanna836,F,862-35-5585,2012-06-22,Designer multimedia,3542103822692159|10/31|American Express,Other,M,800000,MA,41
175,David,Morgan,morgaavid324,M,245-83-6170,1966-11-28,Engineer materials,4745917372266|10/29|Mastercard,Asian,M,35000,HS,19
176,Mary,Wallace,wallamary797,F,067-46-5849,1925-10-12,Early years teacher,372663701436748|09/25|VISA 13 digit,Other,S,175000,AA,36
177,Matthew,Bennett,bennethew143,U,293-71-2888,1973-03-11,Data processing manager,060415183544|06/26|VISA 19 digit,Other,D,175000,BA,15
178,Denise,Park,parknise628,F,638-75-8882,1959-12-01,Engineer electronics,6576213021953054|08/22|VISA 19 digit,White,M,325000,HS,17
179,Hunter,Phillips,phillnter356,U,192-46-1920,1963-10-18,Producer radio,4350015752053|08/31|Mastercard,Other,M,325000,HS,43
180,Patrick,Martin,martirick054,M,300-40-4307,1911-08-16,Engineer civil (contracting),5237032826868314|01/31|Discover,Black,M,225000,MA,42
181,Jennifer,Church,churcifer060,F,386-99-8677,1953-10-01,Designer interior/spatial,6011871748213392|10/29|JCB 16 digit,Other,M,150000,AA,20
182,Jennifer,Church,churcifer060,F,386-99-8677,1953-10-01,Designer interior/spatial,6011871748213392|10/29|JCB 16 digit,Other,M,150000,AA,20
183,Joshua,Robinson,robinshua443,M,847-29-0044,1954-11-21,Sales promotion account executive,3568535662140378|12/28|Discover,White,M,225000,AA,43
184,Susan,Jackson,jacksusan207,F,396-08-1029,1967-11-25,Journalist magazine,2625513964547536|12/22|VISA 19 digit,Black,D,35000,BA,37
185,Denise,Kelly,kellynise706,F,261-55-0370,1997-08-03,Toxicologist,6011997401828877|09/24|VISA 16 digit,Asian,M,225000,HS,43
186,Jason,Whitney,whitnason038,M,188-48-8285,1936-07-31,Production engineer,4653506927949417526|12/23|VISA 19 digit,Indian,U,125000,HS,27
187,Alyssa,Nguyen,nguyeyssa533,U,744-91-9507,1916-07-03,Chartered loss adjuster,676326408769|08/31|American Express,White,S,900000,BA,33
188,Donna,Diaz,diazonna965,U,592-50-9119,1924-06-20,Astronomer,378839359108045|06/22|JCB 16 digit,Black,S,325000,HS,12
189,Donna,Diaz,diazonna965,U,592-50-9119,1924-06-20,Astronomer,378839359108045|06/22|JCB 16 digit,Black,S,325000,HS,12
190,Amanda,Walker,walkeanda390,F,023-04-3455,1980-06-17,Clinical biochemist,4997136304965311|04/26|Maestro,Latino,D,450000,MA,10
191,Adam,Elliott,ellioadam787,M,765-35-4938,1947-05-03,Visual merchandiser,349490243426775|01/22|VISA 16 digit,Latino,M,550000,HS,4
