phone_number,phone_perm,phone_freq
(440)362-6736,Opt-Out,14
(507)436-5635,Unkown,45
(582)376-8639,Opt-In,30
(443)486-9121,Unkown,21
(558)397-2139,Opt-In,21
(537)653-7096,Opt-In,45
(296)770-5387,Opt-In,7
(400)438-1642,Opt-Out,45
(516)429-3978,Opt-In,14
(364)602-6228,Opt-In,21
(748)753-9997,Opt-Out,21
(561)492-5618,Opt-Out,7
(349)657-2058,Unkown,7
(263)533-0972,Opt-Out,30
(446)716-8287,Opt-Out,21
(505)573-2839,Unkown,7
(652)398-3310,Opt-In,14
(504)464-9853,Opt-Out,45
(544)562-2800,Opt-In,14
(770)798-9401,Unkown,21
(397)325-0752,Opt-In,7
(428)454-4820,Opt-In,21
(658)403-7513,Opt-In,30
(224)391-5559,Unkown,30
(262)719-0881,Opt-In,7
(258)662-1427,Unkown,21
(426)753-9726,Opt-Out,7
(636)735-7290,Opt-In,30
(371)560-1491,Opt-In,45
(689)747-8524,Opt-In,30
(741)552-3339,Opt-In,21
(794)718-0124,Unkown,30
(571)468-5776,Unkown,45
(631)775-3833,Opt-In,45
(560)307-8153,Opt-In,30
(526)749-0649,Opt-Out,21
(385)623-5780,Opt-In,45
(718)358-3159,Opt-Out,21
(614)604-1274,Opt-In,7
(216)354-0153,Opt-In,7
(504)587-4825,Opt-In,21
(474)336-3904,Opt-In,14
(724)362-4374,Opt-Out,7
(717)352-8340,Opt-Out,45
(724)761-7640,Opt-In,7
(485)513-9541,Unkown,45
(739)660-0834,Opt-Out,7
(263)568-6235,Opt-In,21
(551)366-9902,Opt-Out,45
(462)460-3126,Opt-In,45
(690)383-5110,Unkown,30
(304)488-9085,Opt-In,45
(569)771-6306,Opt-Out,45
(516)492-0370,Unkown,30
(747)744-2065,Opt-In,30
(291)743-4524,Unkown,21
(401)552-1631,Opt-In,14
(757)383-7497,Opt-In,14
(494)656-1096,Opt-In,45
(773)790-9726,Unkown,30
(551)781-7289,Unkown,21
(422)608-7257,Opt-In,45
(683)702-2113,Unkown,14
(385)395-6779,Opt-In,21
(289)461-3083,Opt-In,7
(385)314-6709,Unkown,7
(405)674-0751,Opt-In,30
(233)516-0238,Opt-Out,45
(424)617-5830,Opt-In,14
(325)443-7876,Unkown,14
(297)518-4465,Opt-In,7
(229)437-5716,Unkown,7
(209)590-0837,Unkown,14
(768)331-3131,Opt-In,7
(353)525-4176,Opt-Out,7
(273)433-7422,Opt-Out,7
(586)450-2324,Unkown,45
(445)746-1047,Unkown,45
(706)632-6263,Opt-Out,14
(473)704-9660,Opt-Out,30
(385)658-8750,Opt-In,14
(238)575-7220,Opt-In,21
(547)450-3228,Opt-In,21
(351)533-4788,Opt-In,7
(254)533-4437,Opt-In,14
(711)720-3134,Opt-In,45
(268)316-2589,Opt-In,14
(454)307-9214,Opt-Out,21
(701)683-7418,Unkown,30
(544)305-8028,Opt-In,7
(404)759-0050,Unkown,30
(695)624-6387,Opt-In,14
(202)540-4797,Opt-Out,45
(460)677-0536,Opt-Out,14
(353)597-6541,Opt-Out,21
(560)338-0991,Opt-In,21
(610)489-1486,Opt-In,7
(756)735-7512,Opt-In,45
(325)354-8342,Opt-Out,7
(652)500-2988,Opt-In,30
(555)463-9182,Unkown,30
(422)581-4192,Opt-Out,7
(435)673-7619,Unkown,14
(254)627-3202,Opt-In,14
(797)577-5793,Opt-In,30
(472)681-2761,Opt-Out,45
(565)682-6565,Unkown,30
(651)594-0265,Opt-In,14
(320)489-7750,Opt-Out,30
(668)441-7453,Opt-Out,30
(750)389-4543,Opt-Out,21
(418)470-2879,Opt-In,45
(201)587-9093,Opt-In,7
(615)622-2294,Opt-Out,7
(239)752-5983,Unkown,7
(273)509-1999,Opt-Out,7
(255)637-0504,Opt-In,14
(656)463-3042,Unkown,7
(289)798-8837,Opt-In,14
(688)780-7631,Unkown,7
(221)533-1640,Opt-In,7
(593)448-7223,Opt-Out,7
(342)606-2554,Opt-In,45
(629)530-4805,Opt-In,7
(500)654-4488,Unkown,30
(516)592-4694,Opt-In,30
(615)463-0843,Opt-In,21
(464)398-8217,Opt-Out,14
(735)511-4880,Opt-Out,14
(556)376-5443,Unkown,7
(678)502-1907,Unkown,21
(442)720-7418,Opt-In,21
(611)548-2201,Unkown,14
(322)606-1419,Opt-In,21
(443)720-6645,Opt-Out,14
(724)437-6893,Opt-In,7
(447)453-1352,Unkown,30
(232)518-9101,Opt-Out,30
(668)555-3482,Unkown,7
(374)633-8314,Opt-In,21
(426)591-5125,Opt-Out,14
(210)515-0440,Unkown,45
(741)315-7892,Unkown,45
(546)717-7654,Opt-Out,21
(387)559-9040,Unkown,21
(225)623-7679,Opt-In,14
(560)690-7902,Opt-In,21
(591)639-8430,Opt-Out,14
(622)653-5289,Opt-Out,7
(590)649-0189,Opt-In,7
(270)505-7637,Opt-In,14
(322)521-6254,Opt-In,14
(668)648-1832,Opt-In,45
(756)741-4744,Opt-In,30
(251)762-2782,Opt-In,45
(228)469-9271,Opt-In,45
(317)423-3939,Opt-In,7
(630)335-2453,Opt-In,7
(717)791-6665,Opt-In,45
(734)638-9507,Unkown,45
(286)343-1779,Opt-In,7
(598)654-5749,Opt-In,30
(211)348-4071,Opt-In,7
(527)460-9827,Opt-In,30
(489)383-4284,Opt-Out,7
(329)617-5981,Opt-Out,21
(744)399-7167,Opt-In,21
(687)771-3454,Opt-Out,7
(290)584-1550,Opt-Out,7
(778)539-0375,Opt-In,30
(246)793-1402,Opt-In,7
(683)530-4232,Opt-Out,45
(360)694-8738,Opt-In,30
(460)769-6469,Opt-In,45
(577)695-7383,Unkown,14
(486)692-6260,Unkown,30
(439)433-3292,Opt-In,7
(251)593-9337,Opt-In,45
(523)619-3992,Unkown,21
(346)758-4988,Opt-In,30
(394)723-4828,Opt-In,30
(585)468-1735,Opt-In,45
(658)328-4443,Unkown,14
(585)437-3922,Opt-In,7
(257)576-3799,Opt-Out,30
(531)540-1725,Unkown,7
(664)521-2817,Opt-In,30
(279)525-3033,Unkown,7
(642)515-1415,Opt-In,45
(320)435-0766,Opt-In,30
(778)620-8962,Opt-Out,21
(649)639-1835,Opt-Out,7
(491)758-3080,Unkown,14
(354)319-4663,Unkown,14
(468)597-9341,Opt-In,14
(260)416-5489,Opt-In,21
(549)743-3621,Opt-Out,7
(581)765-0843,Opt-In,14
(495)681-9026,Unkown,7
(248)660-8825,Unkown,14
(604)477-8149,Opt-Out,45
(496)665-1996,Opt-Out,30
(493)638-1592,Opt-In,30
(390)490-7911,Unkown,7
(210)392-3567,Opt-Out,7
(380)469-0741,Opt-In,7
(745)701-1164,Unkown,30
(684)623-0177,Opt-In,30
(355)551-8718,Opt-In,45
(732)749-9052,Unkown,21
(455)390-1871,Opt-In,45
(395)425-5621,Opt-In,21
(727)612-0102,Unkown,7
(571)402-9026,Unkown,30
(690)447-2970,Opt-In,14
(782)475-5150,Unkown,21
(453)398-1633,Opt-In,30
(488)593-9070,Opt-Out,21
(412)577-4498,Opt-In,14
(578)577-0569,Opt-Out,30
(650)445-6797,Opt-Out,7
(767)609-8908,Opt-In,14
(679)309-9200,Opt-In,7
(437)782-1923,Opt-In,21
(417)787-7706,Opt-In,14
(356)504-9076,Opt-In,30
(432)580-8319,Unkown,14
(489)668-2919,Opt-In,21
(715)485-2006,Opt-Out,30
(459)477-5572,Opt-Out,14
(351)417-2627,Opt-In,45
(430)455-5555,Opt-Out,14
(567)554-7510,Opt-In,21
(238)337-6309,Unkown,7
(486)476-6219,Opt-Out,14
(747)581-3867,Opt-In,45
(613)618-5818,Opt-In,21
(685)517-0182,Opt-Out,30
(637)545-8503,Opt-Out,7
(272)332-3534,Opt-In,21
(366)460-3821,Opt-In,45
(358)691-5356,Opt-Out,45
(790)697-2930,Opt-Out,30
(545)585-5544,Opt-In,30
(365)328-3819,Opt-In,7
(380)305-4675,Opt-In,45
(426)539-0965,Unkown,21
(271)679-3483,Opt-Out,7
(385)632-4099,Unkown,14
(765)598-8452,Opt-Out,30
(454)747-7241,Opt-In,14
(368)739-3988,Unkown,45
(339)405-7165,Opt-Out,45
(769)432-9149,Opt-In,7
(778)754-9070,Unkown,30
(326)364-5080,Opt-Out,45
(315)502-0384,Unkown,30
(653)378-4504,Opt-In,30
(597)462-8854,Opt-Out,7
(393)605-4047,Opt-In,7
(298)702-0442,Opt-In,45
(664)495-4177,Opt-In,7
(350)772-4650,Opt-In,30
(584)497-4991,Opt-In,7
(706)786-3983,Opt-Out,21
(444)629-4329,Opt-In,45
(563)661-9895,Opt-In,7
(332)563-6042,Opt-Out,7
(260)365-9449,Opt-In,21
(351)623-3136,Unkown,30
(603)623-5217,Opt-In,21
(375)364-1732,Opt-Out,21
(600)709-8995,Opt-In,21
(802)756-9531,Unkown,14
(321)504-6817,Opt-In,30
(219)640-4746,Unkown,30
(460)718-7535,Opt-In,14
(747)748-4929,Unkown,21
(565)436-2379,Opt-In,14
(535)648-6788,Opt-In,45
(304)443-7417,Opt-Out,7
(496)337-2323,Opt-In,14
(569)387-9478,Opt-In,7
(484)315-2845,Opt-In,45
(204)555-5469,Opt-In,30
(362)414-5694,Opt-In,14
(746)412-8040,Opt-In,21
(740)621-7880,Opt-In,21
(652)645-1514,Opt-In,21
(353)695-7355,Opt-In,30
(406)517-5420,Opt-In,7
(437)680-6501,Opt-In,45
(488)632-8559,Unkown,7
(201)593-8640,Opt-In,7
(397)714-7659,Opt-Out,21
(584)446-8900,Unkown,7
(543)557-8552,Opt-In,45
(216)783-5816,Opt-Out,7
(543)542-3084,Opt-In,14
(546)794-3555,Unkown,7
(737)749-1214,Unkown,7
(351)646-4472,Opt-In,7
(656)569-3790,Opt-In,45
(656)313-7383,Opt-In,14
(796)654-5662,Opt-In,7
(314)553-1265,Opt-In,14
(478)614-5821,Opt-Out,21
(349)739-1966,Opt-In,7
(304)518-6708,Unkown,7
(245)677-7454,Opt-In,45
(326)716-0612,Opt-Out,7
(391)357-0885,Unkown,21
(491)415-3922,Unkown,45
(211)529-9681,Opt-Out,21
(758)523-5630,Opt-In,45
(223)593-0610,Unkown,45
(491)409-5488,Unkown,21
(247)349-5368,Opt-In,45
(370)733-2261,Opt-In,14
(343)575-5026,Opt-In,14
(506)665-8562,Unkown,30
(471)667-0531,Opt-In,21
(305)462-4656,Unkown,7
(796)499-6495,Unkown,45
(519)739-2001,Opt-In,45
(272)572-1042,Opt-In,21
(361)348-0845,Opt-Out,14
(331)508-7267,Unkown,21
(638)418-4604,Opt-In,45
(444)729-0093,Opt-In,14
(350)674-9362,Opt-In,30
(490)755-0456,Opt-In,14
(310)306-7959,Opt-Out,14
(759)372-8515,Opt-Out,45
(731)536-6421,Opt-Out,21
(526)619-6223,Unkown,21
(675)358-6315,Unkown,30
(674)537-6218,Opt-In,45
(635)595-2734,Opt-Out,45
(567)745-3906,Unkown,7
(524)305-5177,Opt-Out,14
(371)315-7896,Unkown,21
(321)717-0580,Opt-In,7
(622)336-0962,Opt-Out,45
(725)795-1810,Opt-In,30
(775)550-1154,Unkown,45
(672)303-7168,Opt-In,45
(508)763-9540,Unkown,14
(651)685-5456,Opt-In,7
(640)791-6438,Unkown,14
(227)672-8077,Unkown,14
(765)689-3511,Opt-Out,14
(434)512-0026,Unkown,7
(385)452-1724,Unkown,21
(555)586-3124,Unkown,7
(253)510-6182,Opt-In,7
(703)349-8130,Unkown,21
(762)425-7191,Unkown,14
(280)519-7562,Unkown,7
(236)340-9532,Opt-In,30
(747)766-1364,Unkown,14
(313)303-0680,Opt-Out,30
(778)651-1247,Opt-In,7
(801)517-8220,Opt-In,45
(263)747-2095,Opt-Out,21
(351)314-1304,Opt-In,14
(277)542-8775,Opt-In,7
(574)541-9498,Opt-In,14
(580)346-6223,Opt-Out,45
(304)501-4045,Opt-In,7
(781)376-6361,Opt-In,14
(272)607-5325,Opt-In,45
(559)784-4321,Unkown,14
(772)552-3376,Opt-Out,21
(530)368-2105,Opt-Out,45
(479)593-7219,Unkown,21
(465)798-2242,Opt-In,21
(401)754-5918,Opt-Out,30
(615)452-7348,Unkown,21
(256)303-7174,Opt-In,45
(537)485-9014,Opt-In,21
(296)439-0175,Opt-Out,30
(405)542-8988,Opt-Out,45
(338)714-4445,Opt-In,45
(300)442-9918,Opt-In,7
(240)734-5557,Opt-In,45
(400)480-3994,Opt-Out,45
(405)455-7182,Opt-Out,14
(229)663-8433,Opt-In,7
(306)566-2105,Opt-In,7
(606)495-6983,Opt-In,7
(306)745-7384,Unkown,14
(555)654-1475,Opt-In,14
(247)583-6713,Opt-In,21
(738)627-2160,Opt-In,45
(240)530-4054,Opt-In,45
(445)626-9891,Unkown,30
(380)516-8151,Opt-Out,14
(713)318-8403,Opt-In,45
(394)769-3890,Opt-In,7
(705)441-9575,Opt-In,45
(563)506-8470,Opt-In,30
(633)531-2169,Unkown,14
(267)714-2172,Unkown,30
(692)609-3041,Opt-In,45
(712)566-7312,Opt-In,7
(217)364-6494,Opt-In,45
(593)356-1499,Opt-In,14
(797)693-4577,Unkown,7
(772)323-2242,Opt-In,45
(662)566-0970,Opt-Out,7
(555)652-0356,Opt-Out,45
(718)767-2625,Unkown,14
(538)542-0165,Opt-In,30
(734)459-7972,Opt-Out,30
(304)678-8069,Unkown,7
(509)766-4007,Opt-In,14
(222)733-4680,Opt-In,14
(529)618-6339,Opt-Out,14
(238)431-4323,Unkown,21
(525)661-1113,Opt-In,14
(587)566-1628,Opt-In,14
(792)339-9279,Unkown,45
(354)458-2518,Opt-In,21
(552)778-2060,Unkown,21
(585)387-3932,Opt-Out,21
(572)318-1837,Opt-Out,21
(622)493-4918,Opt-Out,7
(791)343-2991,Opt-In,14
(510)643-7099,Unkown,14
(204)738-9432,Opt-In,45
(430)320-5542,Opt-Out,14
(779)560-4284,Opt-In,21
(609)378-0595,Opt-Out,21
(506)560-1856,Opt-Out,45
(444)718-8489,Unkown,30
(637)708-2335,Opt-In,14
(434)416-1394,Unkown,30
(478)341-4854,Opt-In,7
(372)436-8987,Unkown,7
(553)688-3309,Opt-In,21
(367)410-8019,Opt-In,14
(774)784-9364,Unkown,21
(625)418-7791,Opt-In,21
(467)421-0669,Opt-In,30
(316)721-5345,Unkown,45
(469)589-0104,Unkown,45
(765)499-3749,Opt-Out,14
(591)727-6415,Opt-In,45
(803)311-5575,Opt-In,14
(405)795-4196,Opt-Out,30
(757)476-0591,Opt-In,7
(577)586-4521,Unkown,21
(490)460-0502,Unkown,45
(719)660-0979,Opt-Out,21
(552)477-3853,Opt-In,14
(493)770-0992,Opt-In,45
(459)398-6952,Opt-In,21
(679)330-6207,Opt-Out,14
(335)789-1354,Unkown,7
(477)663-7422,Opt-Out,7
(363)491-3119,Opt-Out,45
(758)697-1760,Opt-In,14
(438)474-4007,Opt-Out,7
(344)784-2159,Opt-In,21
(540)501-5350,Opt-In,7
(517)635-0331,Opt-Out,21
(458)439-5484,Opt-In,30
(278)610-5423,Opt-In,7
(442)432-6060,Opt-Out,30
(243)741-5827,Unkown,14
(321)757-2697,Opt-In,45
(261)665-3861,Opt-In,21
(435)567-2004,Opt-Out,7
(432)595-8739,Opt-In,30
(318)546-9497,Opt-Out,14
(597)669-6055,Opt-In,14
(658)512-4930,Opt-In,7
(756)747-1763,Opt-In,7
(257)527-2207,Opt-In,45
(800)419-0079,Opt-In,45
(640)582-0030,Opt-Out,21
(281)529-2864,Opt-Out,14
(243)387-0971,Unkown,7
(208)500-2202,Opt-Out,14
(623)590-5852,Opt-In,30
(531)669-3900,Opt-In,45
(221)672-3754,Opt-In,14
(399)327-6840,Opt-In,21
(363)476-5303,Opt-In,45
(525)613-3956,Unkown,30
(695)407-7993,Opt-In,14
(439)701-2790,Opt-Out,21
(344)763-2443,Opt-Out,7
(719)303-0233,Unkown,30
(453)444-4056,Opt-Out,30
(325)414-0354,Unkown,45
(357)451-8985,Opt-In,21
(314)477-8226,Opt-In,21
(330)483-4856,Opt-In,21
(251)468-5026,Opt-In,7
(295)364-7600,Unkown,45
(707)335-1186,Opt-In,14
(326)399-7738,Opt-In,21
(287)789-7609,Unkown,45
(508)331-4400,Unkown,7
(782)581-7248,Unkown,45
(617)511-6857,Opt-Out,14
(740)763-7249,Opt-In,7
(528)539-6845,Opt-Out,7
(564)771-7379,Unkown,45
(796)356-7620,Opt-In,45
(612)540-0913,Opt-In,21
(356)435-9588,Opt-Out,14
(381)472-6968,Opt-In,7
(788)728-6440,Opt-In,14
(608)467-1671,Opt-In,21
(771)325-7271,Unkown,21
(439)512-3745,Opt-In,30
(638)699-6471,Unkown,7
(797)722-5947,Opt-In,7
(692)539-7278,Opt-In,30
(522)440-3063,Unkown,7
(475)659-0357,Unkown,14
(413)576-5277,Opt-Out,7
(345)440-8473,Opt-In,45
(321)580-1330,Unkown,14
(464)730-7836,Opt-In,14
(543)608-1871,Unkown,14
(300)490-0742,Unkown,30
(207)474-4900,Opt-Out,14
(417)563-2005,Opt-In,14
(321)426-6307,Opt-In,7
(586)762-8603,Unkown,30
(731)723-7427,Opt-Out,14
(693)662-3493,Opt-In,45
(520)542-1878,Opt-In,45
(614)370-0194,Unkown,21
(382)321-8875,Opt-In,7
(537)503-0643,Unkown,30
(211)328-2036,Opt-In,30
(580)735-6224,Opt-Out,30
(738)680-3227,Opt-In,7
(561)640-7505,Opt-In,30
(586)790-2317,Unkown,30
(411)453-5615,Opt-In,21
(704)653-4172,Opt-In,14
(463)565-8469,Unkown,21
(708)512-8525,Opt-Out,30
(462)621-9293,Opt-In,21
(425)500-0280,Opt-Out,45
(232)587-4674,Opt-In,7
(627)595-6426,Opt-Out,7
(487)762-6535,Opt-In,14
(379)384-3956,Opt-In,14
(521)726-9361,Opt-In,14
(799)647-1694,Opt-Out,14
(685)784-9761,Opt-In,30
(386)713-2389,Opt-Out,45
(594)427-9162,Unkown,7
(218)635-8527,Unkown,14
(384)712-8143,Opt-In,45
(654)790-8025,Opt-In,45
(703)768-0165,Opt-In,14
(312)648-4417,Opt-In,7
(667)449-6923,Opt-In,14
(237)680-0441,Opt-In,30
(286)658-4876,Opt-In,7
(490)479-9442,Unkown,14
(481)659-8407,Opt-In,45
(758)438-9107,Unkown,45
(230)479-5718,Opt-Out,14
(581)745-9371,Opt-In,21
(502)559-3792,Opt-In,7
(728)522-8020,Opt-Out,14
(712)649-7229,Opt-In,21
(633)338-1167,Opt-In,30
(510)326-2365,Opt-Out,21
(338)399-8929,Opt-In,21
(411)589-3597,Opt-Out,14
(225)729-4671,Unkown,30
(745)791-5508,Opt-In,30
(803)627-9110,Opt-In,14
(523)446-0154,Opt-In,14
(738)668-8501,Opt-In,30
(610)538-1203,Opt-Out,30
(442)621-1830,Opt-In,14
(697)566-4545,Opt-In,30
(581)457-8526,Opt-Out,45
(567)317-6127,Opt-In,45
(785)532-0522,Opt-In,21
(378)633-2213,Opt-In,30
(649)722-9874,Unkown,45
(457)735-1452,Unkown,21
(489)375-7268,Opt-In,30
(357)552-1802,Opt-In,7
(619)473-8822,Opt-Out,14
(416)570-9240,Opt-Out,45
(463)469-4956,Opt-In,45
(322)451-6260,Opt-In,30
(327)657-0187,Opt-In,30
(763)726-5558,Unkown,21
(564)678-0532,Opt-In,21
(355)526-7022,Opt-In,21
(505)311-8457,Unkown,7
(378)587-7218,Opt-Out,45
(741)710-7833,Opt-Out,14
(408)394-9315,Opt-In,45
(770)612-4735,Opt-In,30
(513)499-7622,Unkown,14
(558)641-2234,Opt-Out,7
(528)453-5613,Opt-In,14
(409)381-7143,Unkown,7
(513)453-7140,Opt-Out,7
(539)400-6697,Unkown,21
(258)617-3169,Opt-In,7
(375)307-2251,Unkown,45
(497)516-5035,Unkown,7
(288)640-0201,Unkown,21
(306)571-2150,Opt-In,14
(702)317-0175,Opt-In,30
(518)539-9691,Opt-In,45
(241)722-8280,Unkown,14
(477)794-6989,Opt-Out,30
(563)442-9465,Opt-In,14
(258)792-8479,Opt-In,14
(593)771-7096,Opt-In,7
(391)385-3423,Unkown,45
(264)589-9847,Opt-Out,30
(342)622-1639,Unkown,30
(528)532-5740,Opt-In,7
(519)486-2329,Unkown,7
(337)761-8649,Opt-In,30
(773)675-1268,Unkown,45
(608)307-4939,Opt-In,45
(701)369-1398,Unkown,14
(486)561-3660,Opt-In,14
(603)543-0436,Unkown,45
(763)497-4920,Unkown,14
(584)309-7098,Opt-In,45
(547)796-6785,Opt-In,30
(252)487-1074,Opt-In,21
(267)689-2453,Opt-Out,21
(588)718-5883,Opt-In,45
(630)505-5406,Opt-Out,7
(704)641-8333,Opt-In,30
(339)316-2699,Unkown,45
(773)477-3647,Unkown,7
(802)571-2827,Opt-In,14
(572)759-7742,Unkown,21
(369)341-7208,Unkown,14
(735)778-7543,Opt-In,7
(202)330-5163,Opt-In,7
(514)447-6894,Opt-Out,7
(548)383-1384,Opt-In,30
(259)781-4018,Opt-Out,14
(638)344-8336,Opt-In,30
(525)515-6723,Opt-In,21
(735)340-8346,Unkown,30
(301)728-7653,Opt-Out,45
(434)680-6925,Unkown,7
(237)456-5980,Opt-In,45
(556)604-4872,Opt-In,45
(261)318-0188,Unkown,14
(447)770-3837,Opt-In,21
(232)303-9022,Opt-Out,7
(516)709-4106,Unkown,21
(667)773-7869,Opt-In,7
(528)635-0272,Opt-In,30
(559)663-6125,Opt-Out,30
(659)519-9341,Opt-In,30
(405)744-8789,Unkown,30
(480)489-9719,Opt-In,21
(742)656-9800,Opt-Out,14
(693)487-9746,Opt-In,30
(242)661-7783,Opt-Out,14
(493)318-5785,Unkown,30
(430)684-0614,Opt-Out,30
(438)354-8366,Opt-In,7
(772)338-9996,Opt-Out,7
(740)593-1907,Opt-Out,45
(403)688-5657,Opt-Out,14
(509)658-2870,Opt-In,14
(643)704-3308,Opt-In,30
(556)728-5294,Opt-In,7
(639)549-0322,Opt-In,7
(638)712-8990,Opt-In,30
(405)488-4743,Opt-In,7
(439)540-9783,Unkown,30
(336)524-0909,Unkown,30
(214)308-2531,Unkown,45
(601)722-0121,Opt-Out,14
(594)735-0900,Opt-Out,14
(323)791-2627,Opt-Out,45
(242)660-0766,Opt-Out,14
(585)462-5400,Opt-In,45
(321)704-1825,Opt-In,14
(268)581-8902,Opt-Out,14
(251)631-8428,Opt-In,14
(330)452-0912,Opt-Out,21
(652)658-6043,Opt-In,14
(289)358-1871,Unkown,14
(489)743-2319,Opt-Out,14
(463)306-1391,Opt-In,7
(429)611-1212,Unkown,45
(582)654-6187,Opt-Out,45
(324)386-0900,Opt-Out,7
(739)382-4029,Unkown,30
(481)367-9379,Opt-In,30
(544)342-7980,Opt-Out,7
(388)439-8586,Opt-In,14
(239)554-9331,Opt-In,7
(430)534-2332,Opt-In,14
(495)768-4081,Opt-Out,21
(298)343-7192,Opt-In,21
(712)592-2082,Opt-In,45
(377)581-5000,Opt-In,45
(341)726-5025,Opt-In,45
(543)461-3092,Opt-Out,21
(667)716-7092,Opt-In,21
(631)456-6923,Opt-In,7
(479)314-7455,Unkown,30
(376)657-4449,Opt-In,21
(672)788-6705,Unkown,21
(693)703-9531,Opt-In,30
(721)605-4172,Opt-In,45
(536)497-5130,Unkown,30
(279)725-5776,Opt-In,30
(317)588-3010,Unkown,14
(504)637-3864,Opt-In,45
(785)702-7524,Opt-In,45
(246)421-3939,Opt-In,21
(386)680-7253,Opt-Out,30
(524)396-5345,Opt-Out,21
(532)349-6708,Opt-In,14
(681)394-9552,Unkown,21
(721)454-2310,Opt-Out,45
(479)786-6655,Opt-Out,30
(669)760-2911,Opt-In,7
(748)347-3574,Unkown,30
(397)757-7282,Opt-In,14
(255)539-2028,Opt-In,21
(461)687-9472,Opt-In,45
(470)439-1529,Opt-In,30
(272)794-1429,Opt-In,30
(465)379-1004,Unkown,7
(782)627-5309,Opt-In,45
(305)433-4185,Unkown,14
(754)723-1170,Opt-Out,45
(527)780-4796,Unkown,45
(599)663-3585,Unkown,14
(417)662-0164,Opt-In,30
(327)748-5483,Unkown,14
(734)457-9975,Opt-In,14
(318)755-3482,Opt-In,30
(364)404-4927,Opt-In,7
(783)793-9964,Opt-Out,7
(719)626-5914,Opt-In,14
(372)773-1641,Opt-Out,45
(651)532-3151,Opt-Out,14
(254)345-0916,Opt-Out,7
(431)671-0660,Opt-In,45
(346)381-8941,Opt-In,21
(632)431-2076,Opt-Out,7
(489)665-2186,Unkown,21
(765)556-2126,Opt-In,14
(312)416-7904,Opt-Out,14
(309)537-5386,Opt-In,21
(795)509-5017,Opt-Out,21
(754)418-8532,Unkown,14
(388)611-4688,Opt-In,14
(277)505-1827,Opt-In,21
(423)356-3981,Opt-In,14
(249)548-0054,Opt-Out,21
(477)439-0497,Opt-Out,14
(579)509-5694,Opt-In,7
(804)556-9037,Unkown,14
(796)567-9500,Opt-In,45
(406)577-9790,Opt-In,14
(334)402-2244,Opt-In,21
(430)689-5364,Opt-In,7
(385)513-4075,Opt-Out,21
(685)504-1015,Opt-In,21
(307)717-7300,Unkown,14
(492)423-4846,Opt-Out,45
(599)602-0056,Opt-In,45
(526)577-8128,Unkown,7
(790)769-9971,Opt-Out,30
(337)316-0739,Unkown,7
(538)603-8035,Unkown,21
(377)691-1937,Opt-In,7
(625)313-2390,Opt-In,45
(531)746-2580,Opt-In,21
(708)547-5107,Unkown,21
(717)734-1038,Opt-In,7
(738)610-1345,Opt-Out,30
(254)649-6556,Opt-Out,45
(552)572-9439,Opt-In,45
(325)745-1658,Opt-Out,30
(571)311-2853,Unkown,21
(264)472-6980,Opt-Out,14
(789)369-9705,Opt-Out,45
(336)503-2898,Unkown,30
(319)418-6504,Unkown,21
(217)432-6173,Opt-In,30
(264)540-4438,Opt-In,7
(603)576-2580,Unkown,14
(481)694-1080,Unkown,7
(370)356-6610,Opt-In,21
